Date,Institutional Net,Retail Net
2010-07-20,33440,-4539
2010-07-27,32148,-2090
2010-08-03,31306,-2072
2010-08-10,33261,-2550
2010-08-17,33539,-1753
2010-08-24,31816,-535
2010-08-31,31789,1036
2010-09-07,43924,3215
2010-09-14,30691,-574
2010-09-21,33016,-1065
2010-09-28,33469,-943
2010-10-05,34983,-1004
2010-10-12,37405,-781
2010-10-19,40149,-915
2010-10-26,38109,-1080
2010-11-02,36237,-1145
2010-11-09,42714,-974
2010-11-16,41084,-1545
2010-11-23,39239,-1213
2010-11-30,43754,-1550
2010-12-07,63532,1741
2010-12-14,31680,-812
2010-12-21,32731,-793
2010-12-28,35851,-841
2011-01-04,35693,-1346
2011-01-11,36118,-932
2011-01-18,36382,-932
2011-01-25,34583,-1395
2011-02-01,37876,-924
2011-02-08,38122,-1457
2011-02-15,39568,-1635
2011-02-22,39487,-787
2011-03-01,42035,-794
2011-03-08,71953,3557
2011-03-15,33828,-1653
2011-03-22,29787,-1067
2011-03-29,36853,-2100
2011-04-05,38132,-2893
2011-04-12,40360,-3117
2011-04-19,39151,-3077
2011-04-26,40570,-2523
2011-05-03,39215,-1776
2011-05-10,35878,-839
2011-05-17,35814,-355
2011-05-24,33818,-398
2011-05-31,40300,-2849
2011-06-07,69463,48
2011-06-14,37790,-6579
2011-06-21,30238,-1441
2011-06-28,29868,-854
2011-07-05,38330,-2131
2011-07-12,36505,-1484
2011-07-19,35907,-1364
2011-07-26,39123,-1682
2011-08-02,38349,-1922
2011-08-09,30683,-604
2011-08-16,24491,-842
2011-08-23,25912,-924
2011-08-30,28426,-668
2011-09-06,38859,6530
2011-09-13,54112,-392
2011-09-20,24551,-1022
2011-09-27,19776,-1114
2011-10-04,23950,-6367
2011-10-11,22566,-6426
2011-10-18,19364,-1452
2011-10-25,22123,-1906
2011-11-01,25685,-1890
2011-11-08,31964,-1878
2011-11-15,25961,-1093
2011-11-22,26792,-1429
2011-11-29,24203,-1229
2011-12-06,42685,-2516
2011-12-13,59130,-4650
2011-12-20,31440,-6654
2011-12-27,32679,-6642
2012-01-03,33942,-6635
2012-01-10,34466,-1622
2012-01-17,36734,-1599
2012-01-24,37744,-106
2012-01-31,38997,-482
2012-02-07,42674,-1
2012-02-14,43941,-397
2012-02-21,44401,-179
2012-02-28,44289,-165
2012-03-06,58690,1373
2012-03-13,112834,14900
2012-03-20,33759,-829
2012-03-27,31294,-164
2012-04-03,32594,-424
2012-04-10,32896,-742
2012-04-17,33729,-825
2012-04-24,31027,-1387
2012-05-01,35373,-858
2012-05-08,27013,-1753
2012-05-15,24334,-1945
2012-05-22,24930,-3135
2012-05-29,21010,-3158
2012-06-05,24853,184
2012-06-12,72774,18481
2012-06-19,22333,-5023
2012-06-26,24469,-4182
2012-07-03,26477,-3348
2012-07-10,25452,-2503
2012-07-17,27860,-2766
