Date,Institutional Net,Retail Net
2010-07-20,16516,21
2010-07-27,18380,-600
2010-08-03,18243,51
2010-08-10,16546,49
2010-08-17,18548,26
2010-08-24,19286,254
2010-08-31,21326,611
2010-09-07,39257,2424
2010-09-14,20298,2
2010-09-21,20105,1
2010-09-28,21020,36
2010-10-05,21301,38
2010-10-12,22479,68
2010-10-19,22447,17
2010-10-26,21486,2
2010-11-02,21125,1
2010-11-09,19824,7
2010-11-16,19999,3
2010-11-23,18375,1
2010-11-30,20465,162
2010-12-07,19260,5
2010-12-14,16982,0
2010-12-21,18001,-302
2010-12-28,20731,-286
2011-01-04,21314,27
2011-01-11,20697,29
2011-01-18,20272,3
2011-01-25,20477,21
2011-02-01,22522,76
2011-02-08,23577,12
2011-02-15,18290,1
2011-02-22,19991,66
2011-03-01,26965,99
2011-03-08,33642,667
2011-03-15,26547,20
2011-03-22,29110,1
2011-03-29,27578,2
2011-04-05,28887,2
2011-04-12,30655,18
2011-04-19,33238,47
2011-04-26,34124,-375
2011-05-03,34657,-400
2011-05-10,28693,-100
2011-05-17,29520,-399
2011-05-24,26031,-415
2011-05-31,27697,-407
2011-06-07,37552,254
2011-06-14,26277,-402
2011-06-21,25468,-818
2011-06-28,25999,-417
2011-07-05,25269,-415
2011-07-12,27036,-351
2011-07-19,26804,-361
2011-07-26,26953,-407
2011-08-02,25647,-189
2011-08-09,24416,355
2011-08-16,21932,180
2011-08-23,21010,174
2011-08-30,21411,31
2011-09-06,20604,114
2011-09-13,20971,672
2011-09-20,12784,117
2011-09-27,10566,160
2011-10-04,9794,133
2011-10-11,9931,34
2011-10-18,9627,43
2011-10-25,12193,113
2011-11-01,12556,170
2011-11-08,10900,143
2011-11-15,10864,127
2011-11-22,10516,121
2011-11-29,10214,123
2011-12-06,11554,696
2011-12-13,27206,5496
2011-12-20,8400,-504
2011-12-27,8242,-493
2012-01-03,9240,-472
2012-01-10,7147,-525
2012-01-17,9575,-521
2012-01-24,12191,-378
2012-01-31,13915,41
2012-02-07,13087,-139
2012-02-14,12526,-266
2012-02-21,14677,-427
2012-02-28,16641,-388
2012-03-06,15216,20
2012-03-13,18395,2640
2012-03-20,10717,-368
2012-03-27,12935,-316
2012-04-03,14477,-764
2012-04-10,12493,-825
2012-04-17,10895,-439
2012-04-24,14165,-417
2012-05-01,15150,-414
2012-05-08,13309,-1489
2012-05-15,15477,-4584
2012-05-22,14743,-5222
2012-05-29,12840,-4719
2012-06-05,13432,-4685
2012-06-12,37261,13928
2012-06-19,8944,-1141
2012-06-26,9028,-1170
2012-07-03,9105,-1169
2012-07-10,10108,-1150
2012-07-17,9950,-1147
2012-07-24,10500,-1144
2012-07-31,9885,-1155
2012-08-07,10771,-1153
2012-08-14,10447,-1153
2012-08-21,12980,-818
2012-08-28,13758,-1301
2012-09-04,16844,-1071
2012-09-11,18756,913
2012-09-18,18185,-3532
2012-09-25,18659,-3205
2012-10-02,19387,-3198
2012-10-09,17532,-3202
2012-10-16,20857,-3314
2012-10-23,20816,-3588
2012-10-30,20307,-4438
2012-11-06,16874,-4864
2012-11-13,16962,-5983
2012-11-20,18626,-6033
2012-11-27,21092,-4093
2012-12-04,24844,-1244
2012-12-11,28782,2826
2012-12-18,24649,-604
2012-12-24,26006,-604
2012-12-31,25308,-604
2013-01-08,24696,-604
2013-01-15,19989,-712
2013-01-22,18768,175
2013-01-29,17136,276
2013-02-05,26292,1
2013-02-12,25061,1
2013-02-19,23293,-1452
2013-02-26,19556,-1215
2013-03-05,14923,-1205
2013-03-12,23199,5248
2013-03-19,9655,-1243
2013-03-26,9750,-1345
2013-04-02,9596,-1690
2013-04-09,9730,-158
2013-04-16,14573,-77
2013-04-23,12910,-77
2013-04-30,14068,-2747
2013-05-07,13236,-2779
2013-05-14,12301,-2987
2013-05-21,13630,-3990
2013-05-28,16560,-3621
2013-06-04,17405,-731
2013-06-11,22285,4931
2013-06-18,11867,-93
2013-06-25,11220,-98
2013-07-02,10287,-126
2013-07-09,10092,-1334
2013-07-16,8472,-95
2013-07-23,9805,289
2013-07-30,10111,318
2013-08-06,11460,479
2013-08-13,14213,-20
2013-08-20,15419,508
2013-08-27,15970,467
2013-09-03,14897,1459
2013-09-10,12883,795
2013-09-17,10397,274
2013-09-24,19681,285
2013-10-01,23194,-228
2013-10-08,25934,-233
2013-10-15,22486,-556
2013-10-22,22697,-134
2013-10-29,23749,-62
2013-11-05,20829,-102
2013-11-12,16048,-5
2013-11-19,15218,512
2013-11-26,15339,508
2013-12-03,19208,1354
2013-12-10,39797,1265
2013-12-17,22129,-350
2013-12-24,22914,-1202
2013-12-31,21380,-291
2014-01-07,19915,-1276
2014-01-14,18810,-1412
2014-01-21,15049,-319
2014-01-28,17991,-722
2014-02-04,16092,-1170
2014-02-11,17055,-293
2014-02-18,22734,-996
2014-02-25,22452,-1734
2014-03-04,24550,-1928
2014-03-11,32212,5393
2014-03-18,23118,-305
2014-03-25,21436,-141
2014-04-01,19049,-329
2014-04-08,16085,-246
2014-04-15,18266,-237
2014-04-22,18402,-270
2014-04-29,18998,181
2014-05-06,24753,80
2014-05-13,18796,-231
2014-05-20,16741,320
2014-05-27,16060,286
2014-06-03,13631,811
2014-06-10,18440,5114
2014-06-17,10539,-384
2014-06-24,11378,-367
2014-07-01,12380,-306
2014-07-08,12784,-381
2014-07-15,12909,72
2014-07-22,11948,-404
2014-07-29,11140,-273
2014-08-05,9080,-344
2014-08-12,8632,-367
2014-08-19,8773,-60
2014-08-26,12661,4219
2014-09-02,15219,5348
2014-09-09,29649,19520
2014-09-16,7545,-851
2014-09-23,8082,-342
2014-09-30,8514,-264
2014-10-07,7637,-333
2014-10-14,6926,-325
2014-10-21,6818,-336
2014-10-28,8024,-340
2014-11-04,8028,-27
2014-11-11,9129,-296
2014-11-18,9752,-189
2014-11-25,12050,-156
2014-12-02,14417,770
2014-12-09,28224,16278
2014-12-16,9120,331
2014-12-23,9873,405
2014-12-30,8983,477
2015-01-06,9596,238
2015-01-13,9829,-226
2015-01-20,8910,421
2015-01-27,9362,458
2015-02-03,9380,59
2015-02-10,9119,63
2015-02-17,9371,100
2015-02-24,8675,430
2015-03-03,8408,1388
2015-03-10,16667,5027
2015-03-17,6607,316
2015-03-24,6607,278
2015-03-31,6085,287
2015-04-07,7414,393
2015-04-14,7371,428
2015-04-21,7914,483
2015-04-28,7727,413
2015-05-05,8874,-137
2015-05-12,10582,221
2015-05-19,11734,241
2015-05-26,10494,290
2015-06-02,10964,708
2015-06-09,15492,1922
2015-06-16,8425,25
2015-06-23,9401,14
2015-06-30,9034,9
2015-07-07,9180,9
2015-07-14,10791,-477
2015-07-21,10445,-1551
2015-07-28,10371,-2373
2015-08-04,9232,-2053
2015-08-11,10268,-2383
2015-08-18,9878,-2300
2015-08-25,11143,-1656
2015-09-01,12270,-545
2015-09-08,16083,2353
2015-09-15,8140,148
2015-09-22,8440,126
2015-09-29,8363,128
2015-10-06,8987,129
2015-10-13,9437,159
2015-10-20,10320,163
2015-10-27,9220,-461
2015-11-03,9640,-1659
2015-11-10,8814,730
2015-11-17,9011,756
2015-11-24,7841,187
2015-12-01,8191,368
2015-12-08,21250,9323
2015-12-15,6203,201
2015-12-22,5670,174
2015-12-29,5270,176
2016-01-05,5266,191
2016-01-12,6336,239
2016-01-19,6129,247
2016-01-26,6125,260
2016-02-02,6413,223
2016-02-09,9734,1460
2016-02-16,11406,1503
2016-02-23,9021,1703
2016-03-01,9212,1581
2016-03-08,12321,4123
2016-03-15,7247,453
2016-03-22,8897,738
2016-03-29,9695,787
2016-04-05,11945,454
2016-04-12,15090,-850
2016-04-19,15271,-190
2016-04-26,11598,-305
2016-05-03,13688,-533
2016-05-10,10291,-98
2016-05-17,9460,-203
2016-05-24,8199,-718
2016-05-31,9868,-753
2016-06-07,15751,1375
