Date,Institutional Net,Retail Net
2010-07-20,17330,948
2010-07-27,18549,919
2010-08-03,17365,1215
2010-08-10,20243,840
2010-08-17,20405,-22
2010-08-24,19508,794
2010-08-31,18182,401
2010-09-07,18368,1455
2010-09-14,44351,5645
2010-09-21,15144,712
2010-09-28,18737,1421
2010-10-05,22762,21
2010-10-12,20865,53
2010-10-19,17952,635
2010-10-26,20391,330
2010-11-02,21461,422
2010-11-09,20265,154
2010-11-16,19036,110
2010-11-23,20468,274
2010-11-30,18819,-176
2010-12-07,21679,5
2010-12-14,34857,451
2010-12-21,17302,-272
2010-12-28,16678,-207
2011-01-04,17527,-226
2011-01-11,19613,-1280
2011-01-18,21157,-1509
2011-01-25,22719,-817
2011-02-01,24631,-1071
2011-02-08,25318,-369
2011-02-15,25594,-1685
2011-02-22,24955,-1315
2011-03-01,24586,970
2011-03-08,23042,-1948
2011-03-15,59463,2246
2011-03-22,17113,50
2011-03-29,26897,307
2011-04-05,21472,-234
2011-04-12,24148,-1726
2011-04-19,25276,-2096
2011-04-26,24182,-1135
2011-05-03,24277,-3298
2011-05-10,23483,-1967
2011-05-17,33037,-2191
2011-05-24,33587,-2609
2011-05-31,32864,-1948
2011-06-07,30623,-2614
2011-06-14,68347,2703
2011-06-21,20942,-5102
2011-06-28,22921,-5357
2011-07-05,24879,-5561
2011-07-12,29522,-6377
2011-07-19,28017,-7430
2011-07-26,27825,-7388
2011-08-02,30035,-9025
2011-08-09,32064,-10353
2011-08-16,25779,-10907
2011-08-23,25481,-6080
2011-08-30,23528,-6368
2011-09-06,23407,-5356
2011-09-13,51412,-2022
2011-09-20,21482,-4740
2011-09-27,24105,-6296
2011-10-04,24824,-6991
2011-10-11,15695,-4574
2011-10-18,19844,-5479
2011-10-25,24986,-5583
2011-11-01,26700,-5422
2011-11-08,21961,-3694
2011-11-15,23579,-3461
2011-11-22,26308,-4318
2011-11-29,23313,-5135
2011-12-06,25319,-5345
2011-12-13,135322,3956
2011-12-20,20408,-6309
2011-12-27,20687,-6213
2012-01-03,22114,-5610
2012-01-10,28672,-4519
2012-01-17,28513,-4356
2012-01-24,27392,-5692
2012-01-31,25534,-5875
2012-02-07,26510,-6979
2012-02-14,24386,-5891
2012-02-21,23537,-5428
2012-02-28,24864,-4703
2012-03-06,26171,-3189
2012-03-13,103563,1189
2012-03-20,30343,-4957
2012-03-27,29396,-4781
2012-04-03,29133,-5437
2012-04-10,29131,-5574
