Date,Institutional Net,Retail Net
2010-07-20,20829,135
2010-07-27,20067,38
2010-08-03,26165,-294
2010-08-10,28349,-498
2010-08-17,30960,-706
2010-08-24,30304,-1337
2010-08-31,31226,-1974
2010-09-07,36353,-161
2010-09-14,25369,-688
2010-09-21,25917,-817
2010-09-28,29417,-1553
2010-10-05,30170,-1293
2010-10-12,32629,-1336
2010-10-19,31363,-2223
2010-10-26,32027,-1334
2010-11-02,32395,-2165
2010-11-09,36185,-1771
2010-11-16,30993,-895
2010-11-23,32311,-876
2010-11-30,30056,-1319
2010-12-07,43769,45
2010-12-14,23211,-661
2010-12-21,22698,-433
2010-12-28,22791,-1344
2011-01-04,24397,414
2011-01-11,31784,-5349
2011-01-18,33658,89
2011-01-25,40029,-254
2011-02-01,43506,-1150
2011-02-08,42458,-844
2011-02-15,46064,-826
2011-02-22,46862,-2387
2011-03-01,48189,-1204
2011-03-08,75659,3395
2011-03-15,31891,-436
2011-03-22,39059,-1374
2011-03-29,45921,-2129
2011-04-05,38103,-443
2011-04-12,47752,-2273
2011-04-19,40271,-1554
2011-04-26,45707,-2798
2011-05-03,47616,-2987
2011-05-10,43795,-3561
2011-05-17,38313,-2876
2011-05-24,33546,-2138
2011-05-31,35787,-1263
2011-06-07,46614,-757
2011-06-14,32740,-315
2011-06-21,27739,-707
2011-06-28,25577,-312
2011-07-05,30395,-1228
2011-07-12,24593,-301
2011-07-19,23381,311
2011-07-26,30058,266
2011-08-02,31890,196
2011-08-09,31281,-329
2011-08-16,32401,-653
2011-08-23,34068,-237
2011-08-30,35262,-2424
2011-09-06,36752,-1223
2011-09-13,43361,1480
2011-09-20,17197,859
2011-09-27,17378,2334
2011-10-04,18459,3007
2011-10-11,20575,525
2011-10-18,20656,427
2011-10-25,24260,327
2011-11-01,26219,-102
2011-11-08,28562,-292
2011-11-15,25759,-2237
2011-11-22,24741,-2958
2011-11-29,23087,-2289
2011-12-06,25727,-3144
2011-12-13,53285,4348
2011-12-20,23211,-1706
2011-12-27,24562,-2606
2012-01-03,22313,-1535
2012-01-10,22746,-1022
2012-01-17,22439,-393
2012-01-24,24160,-69
2012-01-31,24224,3
2012-02-07,29169,-580
2012-02-14,28538,-1441
2012-02-21,28975,-397
2012-02-28,28608,-262
2012-03-06,38086,1563
2012-03-13,47372,15418
2012-03-20,29538,-1926
2012-03-27,36066,-1828
2012-04-03,38407,-2783
2012-04-10,33841,-1714
2012-04-17,41474,-1387
2012-04-24,52114,-2106
2012-05-01,56705,-2066
2012-05-08,79096,-23922
2012-05-15,76334,-23505
2012-05-22,69007,-24888
2012-05-29,70381,-26483
2012-06-05,71669,-25945
2012-06-12,76553,-26581
2012-06-19,48739,-9724
2012-06-26,47019,-9257
2012-07-03,48980,-10187
2012-07-10,53506,-10743
2012-07-17,53484,-10860
2012-07-24,53521,-9262
2012-07-31,56255,-9087
2012-08-07,57892,-9697
2012-08-14,60336,-10635
2012-08-21,61050,-9433
2012-08-28,63938,-7026
2012-09-04,78709,-4396
2012-09-11,122190,1494
2012-09-18,69920,-2077
2012-09-25,70608,-1474
2012-10-02,69765,-1127
2012-10-09,63609,277
2012-10-16,64076,-264
2012-10-23,56498,-1232
2012-10-30,60156,-419
2012-11-06,59760,-84
2012-11-13,57545,738
2012-11-20,56255,1021
2012-11-27,62545,-254
2012-12-04,49591,-497
2012-12-11,54345,-644
2012-12-18,51146,-4909
2012-12-24,51859,-4168
2012-12-31,50974,-3384
2013-01-08,46261,-2475
2013-01-15,46993,-868
2013-01-22,41377,-1248
2013-01-29,33836,-146
2013-02-05,31440,74
2013-02-12,31111,-397
2013-02-19,33007,-2581
2013-02-26,34259,-2456
2013-03-05,46904,921
2013-03-12,131557,20745
2013-03-19,51869,-26898
2013-03-26,52848,-26850
2013-04-02,55450,-27817
2013-04-09,55729,-26626
2013-04-16,49227,-22019
2013-04-23,49420,-24679
2013-04-30,55061,-21416
2013-05-07,51501,-22087
2013-05-14,52916,-22532
2013-05-21,53938,-24447
2013-05-28,56360,-24366
2013-06-04,53327,-21859
2013-06-11,82482,3653
2013-06-18,36925,-2928
2013-06-25,36334,-1250
