Date,Institutional Net,Retail Net
2014-04-29,867,0
2014-05-06,1030,0
2014-06-03,1015,-100
2014-06-10,1291,275
2015-05-26,1422,-150
2015-06-09,3552,1204
2015-07-28,759,0
2015-08-04,851,0
2015-08-11,934,0
2015-08-18,860,0
2015-08-25,627,4
2015-09-01,566,6
2015-09-15,572,-150
2015-09-29,760,-221
2015-10-13,867,-324
2015-11-03,545,23
2015-11-10,679,63
2015-11-17,648,23
2015-11-24,776,1
2015-12-01,674,23
2015-12-08,1199,605
2016-01-26,530,-100
2016-05-17,510,9
2016-08-02,932,1
2016-08-09,966,1
2016-09-13,1653,713
2016-12-06,1837,1120
2016-12-13,5208,2445
2016-12-20,936,1
2016-12-27,921,1
2017-01-03,1132,106
2017-01-10,1333,172
2017-01-17,3257,159
2017-01-24,7447,59
2017-01-31,11559,60
2017-02-07,35071,160
2017-02-14,33809,-15
2017-02-21,32111,2
2017-02-28,27391,1
2017-03-07,27790,1366
2017-03-14,22636,26
2017-03-21,22658,72
2017-03-28,22633,72
2017-04-04,18550,1
2017-04-11,18140,1
2017-04-18,19299,52
2017-04-25,19533,70
2017-05-02,19468,42
2017-05-09,19656,44
2017-05-16,17985,42
2017-05-23,18267,140
2017-05-30,18547,280
2017-06-06,10712,233
2017-06-13,13239,467
2017-06-20,10653,-644
2017-06-27,11010,-644
2017-07-03,10926,-643
2017-07-11,9116,97
2017-07-18,8387,62
2017-07-25,8658,93
2017-08-01,9601,214
2017-08-08,9877,214
2017-08-15,9878,214
2017-08-22,10003,214
2017-08-29,11951,97
2017-09-05,12685,716
2017-09-12,25624,1590
2017-09-19,3040,155
2017-09-26,2899,98
2017-10-03,3146,98
2017-10-10,3577,98
2017-10-17,3362,116
2017-10-24,6505,-89
2017-10-31,6522,-165
2017-11-07,7452,-236
2017-11-14,7068,-96
2017-11-21,8755,-74
2017-11-28,8769,41
2017-12-05,10375,762
2017-12-12,13063,1382
2017-12-19,1314,294
2017-12-26,1452,282
2018-01-02,1629,282
2018-01-09,1467,288
2018-01-16,1455,191
2018-01-23,2070,204
2018-01-30,4114,204
2018-02-06,5047,204
2018-02-13,5805,204
2018-02-20,6936,411
2018-02-27,7145,447
2018-03-06,6589,448
2018-03-13,2030,492
2018-03-20,1941,482
2018-03-27,2163,562
2018-04-03,2193,562
2018-04-10,2404,357
2018-04-17,2223,430
2018-04-24,2150,442
2018-05-01,2105,403
2018-05-08,1686,485
2018-05-15,1688,451
