Date,Institutional Net,Retail Net
2017-12-19,2522,-441
2017-12-26,3454,-861
2018-01-02,3767,-784
2018-01-09,4079,-951
2018-01-16,4332,-1100
2018-01-23,3996,-1183
2018-01-30,4788,-1726
2018-02-06,6063,-2651
2018-02-13,5030,-1953
2018-02-20,4888,-2461
2018-02-27,4416,-1705
2018-03-06,4057,-1101
2018-03-13,4096,-1333
2018-03-20,3772,-1298
2018-03-27,3757,-1237
2018-04-03,3954,-1145
2018-04-10,4395,-1458
2018-04-17,4405,-1144
2018-04-24,3833,-1228
2018-05-01,3752,-1093
2018-05-08,3918,-914
2018-05-15,4239,-1041
2018-05-22,3613,-870
2018-05-29,3708,-1041
2018-06-05,4010,-825
2018-06-12,4336,-914
2018-06-19,3612,-1230
2018-06-26,3938,-1041
2018-07-03,3682,-856
2018-07-10,3707,-854
2018-07-17,3710,-756
2018-07-24,3509,-863
2018-07-31,3238,-660
2018-08-07,3619,-581
2018-08-14,3570,-935
2018-08-21,2998,-1018
2018-08-28,3133,-940
2018-09-04,2966,-856
2018-09-11,3154,-449
2018-09-18,3507,-445
2018-09-25,3012,-708
2018-10-02,3115,-535
2018-10-09,2874,-547
2018-10-16,3082,-674
2018-10-23,2836,-792
2018-10-30,2995,-713
2018-11-06,3044,-769
2018-11-13,3051,-723
2018-11-20,2938,-835
2018-11-27,3102,-940
2018-12-04,2999,-928
2018-12-11,3465,-1282
2018-12-18,3611,-805
2018-12-24,3202,-974
2018-12-31,3372,-1095
2019-01-08,3365,-1110
2019-01-15,3603,-993
2019-01-22,2980,-1146
2019-01-29,3215,-770
2019-02-05,3246,-802
2019-02-12,3478,-778
2019-02-19,3075,-1010
2019-02-26,3109,-1013
2019-03-05,3353,-1004
2019-03-12,3458,-915
2019-03-19,2842,-1224
2019-03-26,2753,-1035
2019-04-02,2821,-979
2019-04-09,2852,-965
2019-04-16,2497,-1072
2019-04-23,2449,-1161
2019-04-30,2699,-712
2019-05-07,2326,-659
