Date,Institutional Net,Retail Net
2010-07-20,49873,-7533
2010-07-27,45995,-4797
2010-08-03,48613,-4010
2010-08-10,51067,-3607
2010-08-17,47422,-3786
2010-08-24,47906,-4363
2010-08-31,51853,-5234
2010-09-07,55402,-6727
2010-09-14,72298,-3342
2010-09-21,46995,-5341
2010-09-28,50891,-5543
2010-10-05,51421,-6706
2010-10-12,51872,-6831
2010-10-19,56038,-8145
2010-10-26,54484,-6793
2010-11-02,54348,-6634
2010-11-09,55414,-6009
2010-11-16,54702,-6199
2010-11-23,51743,-6365
2010-11-30,52558,-4473
2010-12-07,57961,-4241
2010-12-14,105545,3540
2010-12-21,48159,-6648
2010-12-28,51869,-7300
2011-01-04,52790,-7253
2011-01-11,56831,-6440
2011-01-18,57777,-6435
2011-01-25,60124,-5633
2011-02-01,62686,-5807
2011-02-08,67417,-6462
2011-02-15,61201,-6459
2011-02-22,66643,-7503
2011-03-01,67702,-6440
2011-03-08,109966,-6510
2011-03-15,169801,-4275
2011-03-22,61119,-9122
2011-03-29,60306,-7277
2011-04-05,67342,-8676
2011-04-12,69975,-8850
2011-04-19,69804,-7346
2011-04-26,72384,-8358
2011-05-03,68698,-6692
2011-05-10,62765,-5661
2011-05-17,61042,-5218
2011-05-24,62261,-4485
2011-05-31,66577,-4253
2011-06-07,64277,-7959
2011-06-14,81655,2771
2011-06-21,57218,-5476
2011-06-28,56998,-7000
2011-07-05,60159,-3678
2011-07-12,60484,-4239
2011-07-19,60835,-4990
2011-07-26,64596,-6664
2011-08-02,64660,-6273
2011-08-09,64389,-5948
2011-08-16,61947,-2944
2011-08-23,64631,-3999
2011-08-30,66420,-4780
2011-09-06,68205,-4841
2011-09-13,77526,-5149
2011-09-20,88746,-457
2011-09-27,48643,-8237
2011-10-04,52968,-7526
2011-10-11,44501,-7376
2011-10-18,41225,-4460
2011-10-25,41298,-4672
2011-11-01,42272,-4869
2011-11-08,43790,-3680
2011-11-15,44037,-4130
2011-11-22,42549,-3603
2011-11-29,53875,-3127
2011-12-06,68167,-2106
2011-12-13,116767,-41
2011-12-20,145837,235
2011-12-27,42666,-5996
2012-01-03,43553,-4962
2012-01-10,45599,-4980
2012-01-17,43340,-4178
2012-01-24,48447,-4264
2012-01-31,49501,-3395
2012-02-07,56575,-3309
2012-02-14,56485,-3239
2012-02-21,57487,-2753
2012-02-28,60015,-1809
2012-03-06,72427,-182
2012-03-13,102982,8255
2012-03-20,127610,13072
2012-03-27,50316,-6917
2012-04-03,51968,-7569
2012-04-10,48876,-7175
2012-04-17,52708,-7633
2012-04-24,56323,-8619
2012-05-01,63171,-8352
2012-05-08,57405,-9018
2012-05-15,49165,-8417
2012-05-22,46315,-7364
2012-05-29,45941,-6231
2012-06-05,52781,-874
2012-06-12,65355,2339
2012-06-19,66362,-2861
2012-06-26,44583,-4366
2012-07-03,45540,-3725
2012-07-10,46535,-3163
2012-07-17,47650,-3498
2012-07-24,46653,-3249
2012-07-31,50861,-4459
2012-08-07,49354,-4096
2012-08-14,54214,-2129
2012-08-21,61285,-3596
2012-08-28,62261,-4345
2012-09-04,65204,-1849
2012-09-11,155174,16119
2012-09-18,216902,9787
2012-09-25,65930,-8349
2012-10-02,60918,-8029
2012-10-09,62453,-8101
2012-10-16,58205,-5865
2012-10-23,51718,-6422
2012-10-30,54484,-7024
2012-11-06,50410,-6341
2012-11-13,50809,-5878
2012-11-20,50113,-6168
2012-11-27,51932,-5216
2012-12-04,58588,-2802
2012-12-11,65535,-1734
2012-12-18,145156,4034
2012-12-24,54134,-7642
2012-12-31,50073,-6554
2013-01-08,52826,-6676
2013-01-15,55985,-6184
2013-01-22,57760,-7511
2013-01-29,53693,-9588
2013-02-05,52999,-9968
2013-02-12,54380,-8712
2013-02-19,56225,-9044
2013-02-26,58042,-9928
2013-03-05,60377,-13102
2013-03-12,105062,-11011
2013-03-19,202757,-9168
2013-03-26,45248,-3060
2013-04-02,47643,-1876
2013-04-09,45202,-4696
2013-04-16,43566,-4298
2013-04-23,43156,-3904
2013-04-30,41964,-2329
2013-05-07,43899,-1007
2013-05-14,45889,-1530
2013-05-21,40482,-1315
2013-05-28,44393,-1337
2013-06-04,39993,-2201
2013-06-11,63918,3737
2013-06-18,78122,8244
2013-06-25,37085,-6004
2013-07-02,38145,-6370
2013-07-09,39276,-5614
2013-07-16,37766,-3399
2013-07-23,37609,-1160
2013-07-30,39138,-1327
2013-08-06,36542,-3289
2013-08-13,36740,-1813
2013-08-20,34895,-2172
2013-08-27,42181,-3602
2013-09-03,51068,-4482
2013-09-10,60551,-2349
2013-09-17,103026,-3231
2013-09-24,34905,-5205
2013-10-01,36758,-5480
2013-10-08,35075,-5669
2013-10-15,33361,-5559
2013-10-22,36038,-6117
2013-10-29,37654,-7712
2013-11-05,36868,-6390
2013-11-12,37841,-3821
2013-11-19,38162,-4110
2013-11-26,42936,-5251
2013-12-03,42292,-4678
2013-12-10,41232,-4113
2013-12-17,82194,4767
2013-12-24,34783,-3841
2013-12-31,35195,-3543
2014-01-07,38487,-4023
2014-01-14,50645,-8550
2014-01-21,44973,-6877
2014-01-28,50756,-8408
2014-02-04,46364,-8628
2014-02-11,50065,-9521
2014-02-18,50285,-9496
2014-02-25,52343,-9603
2014-03-04,57793,-8417
2014-03-11,63595,-3243
2014-03-18,82351,12569
2014-03-25,46737,-10035
2014-04-01,48013,-12725
2014-04-08,50994,-11177
2014-04-15,50802,-12739
2014-04-22,51176,-12309
2014-04-29,54923,-11355
2014-05-06,55443,-12245
2014-05-13,54703,-11208
2014-05-20,55154,-11039
2014-05-27,57766,-10664
2014-06-03,59703,-12769
2014-06-10,59371,-9689
2014-06-17,80837,-6993
2014-06-24,58023,-11452
2014-07-01,61254,-12066
2014-07-08,60611,-9732
2014-07-15,59718,-10387
2014-07-22,60719,-12487
2014-07-29,53922,-12383
2014-08-05,55381,-13964
2014-08-12,54830,-13560
2014-08-19,55698,-13016
2014-08-26,52938,-10738
2014-09-02,53215,-9098
2014-09-09,49054,-6523
2014-09-16,49021,-8993
2014-09-23,42135,-9038
2014-09-30,44430,-8692
2014-10-07,47191,-7855
2014-10-14,47935,-6788
2014-10-21,46612,-5961
2014-10-28,48865,-5471
2014-11-04,50360,-7901
2014-11-11,50397,-6962
2014-11-18,50687,-7041
2014-11-25,50188,-7965
2014-12-02,50385,-7500
2014-12-09,49743,-9807
2014-12-16,70767,7711
2014-12-23,42635,-6324
2014-12-30,41866,-6631
2015-01-06,42537,-5511
