Date,Institutional Net,Retail Net
2010-07-20,5241572,742874
2010-07-27,5373702,746299
2010-08-03,5283027,790728
2010-08-10,5323803,818785
2010-08-17,5266349,798668
2010-08-24,5186938,750559
2010-08-31,5291891,737375
2010-09-07,5480080,710885
2010-09-14,4841245,611697
2010-09-21,5147738,742889
2010-09-28,5515478,785905
2010-10-05,5384510,807048
2010-10-12,5385762,776800
2010-10-19,5590670,812253
2010-10-26,5789343,810936
2010-11-02,5824973,829784
2010-11-09,6097307,943503
2010-11-16,5972327,879479
2010-11-23,5984837,829295
2010-11-30,5744595,851662
2010-12-07,5691015,958701
2010-12-14,4603143,727503
2010-12-21,4695452,693864
2010-12-28,4716640,696272
2011-01-04,4798174,769360
2011-01-11,5140621,886780
2011-01-18,5280951,891664
2011-01-25,5461001,918659
2011-02-01,5977990,1085444
2011-02-08,6385668,1244171
2011-02-15,6392224,1279975
2011-02-22,6429595,1237614
2011-03-01,6388814,1156214
2011-03-08,6411570,1141063
2011-03-15,5620396,983227
2011-03-22,5855565,940382
2011-03-29,5898587,961069
2011-04-05,6572006,1061030
2011-04-12,6334182,1010732
2011-04-19,6113738,1032474
2011-04-26,6049653,1099005
2011-05-03,6252146,1131300
2011-05-10,5817940,1092636
2011-05-17,6001543,1180251
2011-05-24,6189768,1238800
2011-05-31,6163518,1270349
2011-06-07,6541701,1358282
2011-06-14,6263190,1278161
2011-06-21,6248298,1279303
2011-06-28,6137780,1335580
2011-07-05,6067789,1308691
2011-07-12,6533937,1331950
2011-07-19,6500324,1278270
2011-07-26,6394675,1323272
2011-08-02,6810429,1418852
2011-08-09,6498505,1218973
2011-08-16,6513877,1291913
2011-08-23,6415269,1308529
2011-08-30,6484201,1406842
2011-09-06,6602732,1452168
2011-09-13,6668413,1437180
2011-09-20,5843154,1203840
2011-09-27,5851525,1176160
2011-10-04,6020040,1169448
2011-10-11,6037865,1162118
2011-10-18,5960052,1158354
2011-10-25,6182012,1204991
2011-11-01,6477968,1266745
2011-11-08,6483922,1343044
2011-11-15,6669142,1409783
2011-11-22,6476628,1456383
2011-11-29,6591775,1477082
2011-12-06,6371692,1462066
2011-12-13,6564800,1543007
2011-12-20,5997863,1276011
2011-12-27,6057986,1274662
2012-01-03,6125417,1327318
2012-01-10,6365949,1439924
2012-01-17,6464651,1351071
2012-01-24,6427586,1351040
2012-01-31,6661404,1440785
2012-02-07,6910202,1567427
2012-02-14,6786270,1591563
2012-02-21,7048159,1633748
2012-02-28,7201379,1755269
2012-03-06,7093563,1805925
2012-03-13,7404907,1855356
2012-03-20,6593304,1670096
2012-03-27,6835321,1665909
2012-04-03,6881722,1677875
2012-04-10,7078690,1665627
2012-04-17,6866826,1587819
2012-04-24,7139659,1519706
2012-05-01,7285256,1476542
