Date,Institutional Net,Retail Net
2025-01-07,381895,185322
2025-01-14,429354,239854
2025-01-21,472160,262030
2025-01-28,485200,268401
2025-02-04,442960,185504
2025-02-11,426719,205024
2025-02-18,415867,210208
2025-02-25,408454,218995
2025-03-04,382224,208217
2025-03-11,397375,236457
2025-03-18,425551,235309
2025-03-25,404344,221549
2025-04-01,399182,193810
2025-04-08,341775,200547
2025-04-15,354586,206628
2025-04-22,367696,230292
2025-04-29,350676,235145
2025-05-06,343972,241993
2025-05-13,329245,229648
2025-05-20,334519,239051
