Date,Institutional Net,Retail Net
2010-07-20,37373,-1262
2010-07-27,38306,-1726
2010-08-03,37903,-1416
2010-08-10,37282,-1330
2010-08-17,38472,-1542
2010-08-24,41304,-496
2010-08-31,40415,-610
2010-09-07,54346,1352
2010-09-14,34120,-1708
2010-09-21,31155,-1740
2010-09-28,33353,-2522
2010-10-05,36487,-1535
2010-10-12,40498,-1553
2010-10-19,39343,-2709
2010-10-26,41883,-4632
2010-11-02,43821,-4790
2010-11-09,59163,-13488
2010-11-16,54854,-13241
2010-11-23,56211,-15790
2010-11-30,56279,-17817
2010-12-07,66477,-17315
2010-12-14,24781,-1320
2010-12-21,26812,-2757
2010-12-28,30129,-1292
2011-01-04,31294,-711
2011-01-11,30235,-2540
2011-01-18,33214,-3581
2011-01-25,35260,-4269
2011-02-01,38208,-5264
2011-02-08,37166,-5237
2011-02-15,53183,-24615
2011-02-22,26736,-576
2011-03-01,31192,-539
2011-03-08,33095,-686
2011-03-15,34563,-430
2011-03-22,35479,-1577
2011-03-29,36794,-1281
2011-04-05,33422,-1343
2011-04-12,28212,-464
2011-04-19,26170,-814
2011-04-26,31304,-599
2011-05-03,35819,-923
2011-05-10,33301,-197
2011-05-17,32911,193
2011-05-24,33024,191
2011-05-31,33632,-229
2011-06-07,38557,502
2011-06-14,30653,-1155
2011-06-21,32199,-2209
2011-06-28,25977,-2356
2011-07-05,26184,-1415
2011-07-12,35612,-1355
2011-07-19,38114,-1232
2011-07-26,39474,-1656
2011-08-02,43039,-649
2011-08-09,38456,-954
2011-08-16,38237,-935
2011-08-23,35732,-1367
2011-08-30,37245,-867
2011-09-06,34655,-942
2011-09-13,74595,1644
2011-09-20,33305,-1768
2011-09-27,31353,-1214
2011-10-04,31609,-1491
2011-10-11,31068,-1498
2011-10-18,29638,-1335
2011-10-25,38795,-1810
2011-11-01,30365,478
2011-11-08,28781,-619
2011-11-15,25997,-723
2011-11-22,26166,-606
2011-11-29,26858,-1185
2011-12-06,41250,-1121
2011-12-13,82824,9797
2011-12-20,21422,-1128
2011-12-27,20324,-1174
2012-01-03,25000,-1105
2012-01-10,26685,-580
2012-01-17,28843,-574
2012-01-24,25549,-1610
2012-01-31,30956,-488
2012-02-07,30455,-373
2012-02-14,26081,-530
2012-02-21,21535,-375
2012-02-28,20712,-92
2012-03-06,34366,2467
2012-03-13,91416,14639
2012-03-20,14663,-1064
2012-03-27,14054,-852
2012-04-03,13468,-354
2012-04-10,13678,-380
2012-04-17,13353,-883
2012-04-24,14595,-363
2012-05-01,15386,-355
2012-05-08,27205,-10647
2012-05-15,26541,-10921
2012-05-22,30821,-10779
2012-05-29,30238,-10148
2012-06-05,50307,-9171
2012-06-12,49933,-6723
2012-06-19,19891,-450
2012-06-26,15237,-480
2012-07-03,16541,-846
2012-07-10,18131,-393
2012-07-17,19931,-374
2012-07-24,23978,-188
2012-07-31,26962,178
2012-08-07,26989,316
2012-08-14,27788,-391
2012-08-21,22888,-160
2012-08-28,26140,608
2012-09-04,31310,-288
2012-09-11,59360,3699
2012-09-18,26030,484
2012-09-25,28112,-412
2012-10-02,28976,-616
2012-10-09,23193,-389
2012-10-16,21477,568
2012-10-23,16694,77
2012-10-30,14616,335
2012-11-06,14102,-181
2012-11-13,17347,-777
2012-11-20,19582,-1500
2012-11-27,19454,-348
