Date,Institutional Net,Retail Net
2010-07-20,102804,-74
2010-07-27,100567,-411
2010-08-03,114161,-3330
2010-08-10,109969,-2016
2010-08-17,113569,-2091
2010-08-24,125426,1974
2010-08-31,128211,-709
2010-09-07,124551,1022
2010-09-14,325127,7151
2010-09-21,98075,-2703
2010-09-28,102712,14
2010-10-05,151195,6936
2010-10-12,148841,10856
2010-10-19,155586,8311
2010-10-26,158784,2570
2010-11-02,155076,3587
2010-11-09,150287,5230
2010-11-16,172841,7688
2010-11-23,161748,8218
2010-11-30,151403,8207
2010-12-07,156334,4413
2010-12-14,381657,26316
2010-12-21,98655,-14328
2010-12-28,107320,-11443
2011-01-04,125560,-6310
2011-01-11,111550,-5532
2011-01-18,118476,-9183
2011-01-25,131507,-2219
2011-02-01,142761,-1647
2011-02-08,142612,-2541
2011-02-15,158586,-2536
2011-02-22,154208,-2282
2011-03-01,177537,2372
2011-03-08,169243,2218
2011-03-15,321000,41508
2011-03-22,75700,-7336
2011-03-29,97207,-2329
2011-04-05,118647,923
2011-04-12,117100,-1099
2011-04-19,117325,-10941
2011-04-26,128883,-7080
2011-05-03,138436,-6543
2011-05-10,119461,-2629
2011-05-17,115548,-5907
2011-05-24,112619,-10858
2011-05-31,114573,-8964
2011-06-07,125885,-3932
2011-06-14,249447,11829
2011-06-21,68937,-11341
2011-06-28,72751,-7860
2011-07-05,78023,-7381
2011-07-12,97830,-2629
2011-07-19,92116,-1666
2011-07-26,108215,-1248
2011-08-02,112234,2192
2011-08-09,104738,3413
2011-08-16,139116,13081
2011-08-23,151623,17221
2011-08-30,155935,19648
2011-09-06,159394,16064
2011-09-13,278463,33399
2011-09-20,61476,-4923
2011-09-27,68506,-1853
2011-10-04,83469,5740
2011-10-11,73186,-2321
2011-10-18,89198,-5072
2011-10-25,92651,-1529
2011-11-01,109624,-1985
2011-11-08,115420,430
2011-11-15,122895,3821
2011-11-22,115481,6070
2011-11-29,102344,4586
2011-12-06,114421,733
2011-12-13,235100,14793
2011-12-20,63253,-8273
2011-12-27,71905,-6020
2012-01-03,75025,-8627
2012-01-10,96022,-7003
2012-01-17,100835,-767
2012-01-24,120570,-784
2012-01-31,103738,-5714
2012-02-07,106443,-5239
2012-02-14,118799,-7497
2012-02-21,98715,3212
2012-02-28,101860,2388
2012-03-06,112663,783
2012-03-13,277984,47771
2012-03-20,61118,-4887
2012-03-27,67284,-2369
2012-04-03,65559,-5416
2012-04-10,93289,-2441
2012-04-17,87025,-5542
2012-04-24,92704,-3201
2012-05-01,101949,-4082
2012-05-08,124592,20226
2012-05-15,113168,7404
2012-05-22,121758,20904
2012-05-29,117281,12855
2012-06-05,115750,12480
2012-06-12,277591,30476
2012-06-19,61657,-17390
2012-06-26,64711,-18112
2012-07-03,66006,-16206
2012-07-10,65870,-6791
2012-07-17,66142,-7585
2012-07-24,75199,-3913
2012-07-31,60037,-9786
2012-08-07,61778,-9222
2012-08-14,64524,-9712
2012-08-21,87989,-5888
2012-08-28,95936,-5953
2012-09-04,102658,-5187
2012-09-11,132232,-3292
2012-09-18,471515,14572
2012-09-25,74471,-9665
2012-10-02,98443,-8885
2012-10-09,96866,-9032
2012-10-16,90753,-6064
2012-10-23,90333,-6526
2012-10-30,86426,-5569
2012-11-06,61875,-5220
2012-11-13,63661,-7668
2012-11-20,147372,2885
2012-11-27,74366,-8472
2012-12-04,150932,-3515
2012-12-11,153296,1066
2012-12-18,322854,31279
2012-12-24,65574,-5958
2012-12-31,65119,-8609
2013-01-08,70456,-11395
2013-01-15,73750,-9663
2013-01-22,74771,-13411
2013-01-29,72774,-10314
2013-02-05,59581,-11294
2013-02-12,64580,-11706
2013-02-19,62917,-10676
2013-02-26,71101,-10495
2013-03-05,89896,-12994
2013-03-12,290958,-9638
2013-03-19,62048,-15454
2013-03-26,60859,-13256
2013-04-02,65049,-14543
2013-04-09,71777,-8071
2013-04-16,66606,-12053
2013-04-23,69930,-7128
2013-04-30,66430,-10648
2013-05-07,77848,-13231
2013-05-14,77702,-13734
2013-05-21,81988,-15665
2013-05-28,73202,-14161
2013-06-04,80167,-8252
2013-06-11,81497,-5719
2013-06-18,259182,-2732
2013-06-25,67833,-7789
2013-07-02,56263,-11778
2013-07-09,64093,-12490
2013-07-16,67273,-12923
2013-07-23,67507,-9048
2013-07-30,64025,-9661
2013-08-06,66513,-13761
2013-08-13,67067,-13230
2013-08-20,68070,-9233
2013-08-27,77601,-11212
2013-09-03,78977,-9801
2013-09-10,89422,-10262
2013-09-17,250568,12317
2013-09-24,58063,-11158
2013-10-01,59627,-12834
2013-10-08,63858,-13118
2013-10-15,59356,-11059
2013-10-22,58933,-11217
2013-10-29,58442,-11913
2013-11-05,61532,-14597
2013-11-12,59126,-12907
2013-11-19,60458,-13563
2013-11-26,56932,-13429
2013-12-03,66181,-11053
2013-12-10,85332,-8992
2013-12-17,243504,18418
2013-12-24,60071,-9127
2013-12-31,57267,-9284
2014-01-07,64063,-6892
2014-01-14,66517,-10685
2014-01-21,71587,-10804
2014-01-28,78186,-8336
2014-02-04,108316,-4947
2014-02-11,76893,-5761
2014-02-18,83004,-6016
2014-02-25,82402,-9065
2014-03-04,76145,-7624
2014-03-11,87617,-7238
2014-03-18,322701,5432
2014-03-25,65314,-4526
2014-04-01,76201,-9190
2014-04-08,95888,-11633
2014-04-15,87618,-8556
2014-04-22,88889,-5109
2014-04-29,100683,-7610
2014-05-06,131744,1255
2014-05-13,144754,1794
2014-05-20,150828,4498
2014-05-27,124078,-5281
2014-06-03,147038,2681
2014-06-10,157277,-2418
2014-06-17,383067,18778
2014-06-24,61918,-4247
2014-07-01,75679,-15346
2014-07-08,72995,-6677
2014-07-15,67777,-6336
2014-07-22,67709,-8401
2014-07-29,65363,-5720
2014-08-05,68754,-3329
2014-08-12,66434,-3936
2014-08-19,81329,-5122
2014-08-26,80624,-5665
2014-09-02,81398,-4963
2014-09-09,88225,-6329
2014-09-16,409288,5825
2014-09-23,73928,-4207
2014-09-30,74440,-4095
2014-10-07,68595,-5711
2014-10-14,80433,-6292
2014-10-21,78243,-4848
2014-10-28,86114,-3941
2014-11-04,78611,-5205
2014-11-11,82421,-6392
2014-11-18,96611,-4896
2014-11-25,103606,-4048
2014-12-02,104966,-4075
2014-12-09,108782,-4058
2014-12-16,301731,7860
2014-12-23,74374,-6513
2014-12-30,76510,-8244
2015-01-06,76029,-10033
2015-01-13,78380,-6706
2015-01-20,82131,-5764
2015-01-27,82666,-5035
2015-02-03,82168,-2387
2015-02-10,85091,-1911
2015-02-17,114843,-2353
2015-02-24,111339,-2275
2015-03-03,100344,-4403
2015-03-10,110981,-3769
2015-03-17,299636,-8048
2015-03-24,74504,-11450
2015-03-31,77648,-6708
2015-04-07,78019,-8714
2015-04-14,71158,-14855
2015-04-21,70900,-13192
2015-04-28,78935,-16476
2015-05-05,83433,-15869
2015-05-12,74366,-15186
2015-05-19,79853,-17372
2015-05-26,81082,-17961
2015-06-02,94408,-15706
2015-06-09,106272,-16522
2015-06-16,272182,-11164
