Date,Institutional Net,Retail Net
2010-07-20,21469,636
2010-07-27,22930,364
2010-08-03,23134,157
2010-08-10,24247,31
2010-08-17,25928,336
2010-08-24,30421,301
2010-08-31,26513,619
2010-09-07,45306,1381
2010-09-14,21109,133
2010-09-21,17951,-91
2010-09-28,22354,-294
2010-10-05,26333,-900
2010-10-12,26823,-994
2010-10-19,24653,-726
2010-10-26,26608,-562
2010-11-02,25919,-791
2010-11-09,29344,-1950
2010-11-16,32508,-3083
2010-11-23,38006,-1938
2010-11-30,42409,-2308
2010-12-07,73619,688
2010-12-14,28934,-3081
2010-12-21,30508,-3856
2010-12-28,30710,-4936
2011-01-04,33235,-5365
2011-01-11,34637,-4872
2011-01-18,38806,-4038
2011-01-25,37275,-3119
2011-02-01,37033,-3029
2011-02-08,36446,-3571
2011-02-15,37885,-3666
2011-02-22,35187,-752
2011-03-01,35117,-1827
2011-03-08,77487,917
2011-03-15,46029,-4626
2011-03-22,59003,-216
2011-03-29,59910,972
2011-04-05,58301,-120
2011-04-12,51758,-1137
2011-04-19,49679,-963
2011-04-26,52075,1088
2011-05-03,55496,4752
2011-05-10,33800,4823
2011-05-17,36200,5572
2011-05-24,35841,4524
2011-05-31,43242,5099
2011-06-07,79317,20245
2011-06-14,21861,-3337
2011-06-21,23396,-3678
2011-06-28,24095,-2366
2011-07-05,25540,-2133
2011-07-12,32064,-1111
2011-07-19,35142,-1757
2011-07-26,23114,-2118
2011-08-02,33578,-2078
2011-08-09,47941,-636
2011-08-16,38465,-1035
2011-08-23,41208,-2068
2011-08-30,43318,-1740
2011-09-06,74782,1870
2011-09-13,22478,-2043
2011-09-20,17775,-1612
2011-09-27,17962,-959
2011-10-04,25551,511
2011-10-11,19986,760
2011-10-18,20787,501
2011-10-25,20307,749
2011-11-01,22368,1255
2011-11-08,19630,496
2011-11-15,22902,96
2011-11-22,22995,-1483
2011-11-29,27372,-1734
2011-12-06,35434,-293
2011-12-13,15900,-1262
2011-12-20,17008,-180
2011-12-27,18417,-824
2012-01-03,18458,-942
2012-01-10,18913,-524
2012-01-17,18886,-421
2012-01-24,22109,584
2012-01-31,24112,2241
2012-02-07,21904,-302
2012-02-14,27615,-439
2012-02-21,28835,-2938
2012-02-28,31522,-2407
2012-03-06,77015,7167
2012-03-13,22858,-5471
2012-03-20,23510,-5268
2012-03-27,27447,-3371
2012-04-03,28813,-2954
