Date,Institutional Net,Retail Net
2010-07-20,4233,-1486
2010-07-27,3663,-399
2010-08-03,3798,-404
2010-08-10,4734,463
2010-08-17,4410,-1359
2010-08-24,5102,-1397
2010-08-31,3707,-521
2010-09-07,14289,2746
2010-09-14,3949,-473
2010-09-21,4024,-341
2010-09-28,4148,-366
2010-10-05,4366,-482
2010-10-12,4537,-527
2010-10-19,4287,-527
2010-10-26,4223,-537
2010-11-02,4223,-537
2010-11-09,4273,-559
2010-11-16,4070,-586
2010-11-23,3934,-586
2010-11-30,4068,-586
2010-12-07,5212,-558
2010-12-14,2799,-586
2010-12-21,3027,-874
2010-12-28,3572,-973
2011-01-04,3851,-738
2011-01-11,4271,-602
2011-01-18,4427,-680
2011-01-25,4842,-818
2011-02-01,4871,-896
2011-02-08,4349,-706
2011-02-15,4854,-1237
2011-02-22,5068,-987
2011-03-01,5110,-816
2011-03-08,7191,143
2011-03-15,3623,-565
2011-03-22,3182,-606
2011-03-29,3190,-447
2011-04-05,4019,-660
2011-04-12,4599,-1001
2011-04-19,5435,-785
2011-04-26,5526,-785
2011-05-03,5524,-743
2011-05-10,4918,-1023
2011-05-17,4205,-866
2011-05-24,4527,-854
2011-05-31,5258,-719
2011-06-07,15924,-437
2011-06-14,5435,-1030
2011-06-21,5519,-1170
2011-06-28,5371,-957
2011-07-05,5647,-1154
2011-07-12,5183,-961
2011-07-19,6140,-1061
2011-07-26,6551,-1381
2011-08-02,6791,-1216
2011-08-09,5191,-640
2011-08-16,4667,-950
2011-08-23,5227,-908
2011-08-30,5494,-1145
2011-09-06,5738,-1084
2011-09-13,19048,-518
2011-09-20,3915,-552
2011-09-27,2765,-494
2011-10-04,1995,-245
2011-10-11,1843,-245
2011-10-18,2230,-362
2011-10-25,2337,-367
2011-11-01,2825,-341
2011-11-08,2361,-300
2011-11-15,2178,-252
2011-11-22,2031,-541
2011-11-29,1949,-447
2011-12-06,2218,5
2011-12-13,3283,330
2011-12-20,2263,-165
2011-12-27,2560,-265
2012-01-03,2658,-165
2012-01-10,3363,-24
2012-01-17,3672,-24
2012-01-24,4012,-24
2012-01-31,5126,-245
2012-02-07,5501,-294
2012-02-14,5392,-238
2012-02-21,5742,-489
2012-02-28,6206,-695
2012-03-06,5756,-524
2012-03-13,16170,3590
2012-03-20,3701,-183
2012-03-27,4034,-275
2012-04-03,4347,-464
2012-04-10,3984,-287
2012-04-17,4421,-619
2012-04-24,4379,-436
2012-05-01,4973,-406
2012-05-08,5215,-2048
2012-05-15,5448,-2609
2012-05-22,5422,-3799
2012-05-29,5608,-3612
2012-06-05,5648,-3748
2012-06-12,18953,-2961
2012-06-19,2758,-148
2012-06-26,3349,-358
2012-07-03,3760,-163
2012-07-10,4162,-163
2012-07-17,3890,-163
2012-07-24,3677,-422
2012-07-31,4454,-111
2012-08-07,4815,-154
2012-08-14,5471,-286
2012-08-21,5765,-156
2012-08-28,5165,-152
2012-09-04,4643,-332
2012-09-11,13024,738
2012-09-18,5951,-518
2012-09-25,6908,-460
2012-10-02,6163,-88
2012-10-09,6476,-330
2012-10-16,5938,-470
2012-10-23,5255,-241
2012-10-30,5440,53
2012-11-06,6124,-65
2012-11-13,4919,-68
2012-11-20,4683,165
2012-11-27,5695,6
2012-12-04,6248,192
2012-12-11,11653,2364
2012-12-18,6394,-83
2012-12-24,8150,-208
2012-12-31,5228,-91
2013-01-08,6060,-555
2013-01-15,6221,-327
2013-01-22,6320,-326
2013-01-29,6638,-156
2013-02-05,8401,668
2013-02-12,7636,1306
2013-02-19,7888,-94
2013-02-26,6921,1456
2013-03-05,4872,-125
2013-03-12,7594,734
2013-03-19,3789,-397
2013-03-26,6240,-671
2013-04-02,6251,-713
2013-04-09,6327,-920
2013-04-16,6146,-1041
2013-04-23,5862,-670
2013-04-30,8019,-1628
2013-05-07,7555,-1649
2013-05-14,6118,-1946
2013-05-21,4842,-1084
2013-05-28,4068,-961
2013-06-04,3271,-852
2013-06-11,6267,-380
2013-06-18,2342,-334
2013-06-25,2513,-432
2013-07-02,2408,-129
2013-07-09,2743,-426
2013-07-16,3096,-523
2013-07-23,3049,-762
2013-07-30,3949,-650
2013-08-06,3269,-755
2013-08-13,3349,-547
2013-08-20,3546,-363
2013-08-27,3612,-545
2013-09-03,2821,-611
2013-09-10,4537,-511
2013-09-17,2973,-502
2013-09-24,3864,-553
2013-10-01,4625,-660
2013-10-08,4501,-683
2013-10-15,4615,-688
2013-10-22,5094,-734
2013-10-29,4938,-1034
2013-11-05,4561,-721
2013-11-12,4122,-411
2013-11-19,4355,-638
2013-11-26,4247,-732
2013-12-03,4253,-390
2013-12-10,6537,536
2013-12-17,4942,-464
2013-12-24,4897,-726
2013-12-31,4575,-436
2014-01-07,5041,-445
2014-01-14,5098,-682
2014-01-21,5323,-532
2014-01-28,5139,-116
2014-02-04,4510,-111
2014-02-11,4471,243
2014-02-18,4891,200
2014-02-25,4798,59
2014-03-04,5615,150
2014-03-11,9950,3709
2014-03-18,6296,-517
2014-03-25,5792,-255
2014-04-01,8120,-2663
2014-04-08,7736,-2602
2014-04-15,8012,-2840
2014-04-22,8040,-2797
2014-04-29,5691,-309
2014-05-06,5919,-317
2014-05-13,5309,-276
2014-05-20,5129,-291
2014-05-27,5564,-311
2014-06-03,6005,-677
2014-06-10,13300,2106
2014-06-17,4645,-171
2014-06-24,4296,-130
2014-07-01,4522,-320
2014-07-08,7933,2681
2014-07-15,4686,-317
2014-07-22,4741,-422
2014-07-29,4620,-300
2014-08-05,4535,-452
2014-08-12,5216,-742
2014-08-19,4787,-558
2014-08-26,4874,-442
2014-09-02,4557,-355
2014-09-09,6469,1101
2014-09-16,3002,-312
2014-09-23,3201,-300
2014-09-30,3541,-321
2014-10-07,3004,-99
2014-10-14,2570,36
2014-10-21,3082,-299
2014-10-28,3423,-366
2014-11-04,3085,-532
2014-11-11,2962,-347
2014-11-18,3493,-607
2014-11-25,3961,-214
2014-12-02,4150,-353
2014-12-09,6334,-709
2014-12-16,3911,-834
2014-12-23,3546,-766
2014-12-30,3617,-188
2015-01-06,3430,-65
2015-01-13,5334,533
2015-01-20,5109,475
2015-01-27,3661,477
2015-02-03,3523,460
2015-02-10,3323,160
2015-02-17,3869,1063
2015-02-24,3615,1171
2015-03-03,4387,725
2015-03-10,7538,1330
2015-03-17,3537,251
2015-03-24,3659,312
2015-03-31,3449,190
2015-04-07,3805,179
2015-04-14,4070,-3
2015-04-21,4376,-40
2015-04-28,5185,382
2015-05-05,4321,489
2015-05-12,4843,-644
2015-05-19,3877,166
2015-05-26,3816,136
2015-06-02,5081,2071
2015-06-09,7311,2470
